"","match_title_freq","onb_title_freq"
"Adler, H. G.",0.00581869172164155,-0.00473470245488151
"Adler, Hans",0.22774734265748,-0.185319304400084
"Aichinger, Ilse",0.156736767954397,-0.127537597024394
"Aichner, Bernhard",0.907449493219703,-0.738396799275064
"Altenberg, Peter",0.219059250596996,-0.178249754615548
"Améry, Jean",-0.492800794381036,0.400994801330575
"Anders, Günther",0.322083380780641,-0.262081073652147
"Arenz, Ewald",0.22774734265748,-0.185319304400084
"Arnautović, Ljuba",0.22774734265748,-0.185319304400084
"Augustin, Anita",0.22774734265748,-0.185319304400084
"Ausländer, Rose",0.0116373834432831,-0.00946940490976302
"Axster, Lilly",0.22774734265748,-0.185319304400084
"Bachmann, Ingeborg",0.784484837525529,-0.638339761536925
"Bäcker, Heimrad",0.22774734265748,-0.185319304400084
"Baldini, Laura",0.419167279849689,-0.3410787929405
"Bankhofer, Hademar",0.22774734265748,-0.185319304400084
"Baronsky, Eva",0.644166761561282,-0.524162147304294
"Barylli, Gabriel",0.22774734265748,-0.185319304400084
"Becker, Zdenka",0.394469968771554,-0.320982450844269
"Beer, Alex",0.322083380780641,-0.262081073652147
"Berger, Herbert",-0.178443027883664,0.145200103836905
"Bernard, Caroline",0.22774734265748,-0.185319304400084
"Bernhard, Thomas",0.469995726299805,-0.382438188092869
"Bettauer, Hugo",-0.178443027883664,0.145200103836905
"Brandstetter, Alois",0.22774734265748,-0.185319304400084
"Brem, Ilse",0.322083380780641,-0.262081073652147
"Brendel, Alfred",-0.104673511907363,0.0851734302997339
"Brezina, Thomas",-11.8918338300876,9.67645263263336
"Breznik, Melitta",-0.178443027883664,0.145200103836905
"Broch, Hermann",0.221659262963632,-0.180365399424372
"Bruckner, Ferdinand",-0.178443027883664,0.145200103836905
"Busch, Wilhelm",0.22774734265748,-0.185319304400084
"Canetti, Elias",-1.75023180925973,1.42417354971611
"Canetti, Veza",-0.178443027883664,0.145200103836905
"Cejpek, Lucas",0.22774734265748,-0.185319304400084
"Celan, Paul",0.593703240913566,-0.483099694347034
"Chobot, Manfred",-0.178443027883664,0.145200103836905
"Cristen, Gabriele Marie",0.322083380780641,-0.262081073652147
"Crüwell, G. A.",0.22774734265748,-0.185319304400084
"Dempf, Peter",0.22774734265748,-0.185319304400084
"Dinev, Dimitré",-0.472191224930644,0.384224677780655
"Doderer, Heimito ",0.465526678085333,-0.378801698214336
"Doehnert, Rodica",-0.178443027883664,0.145200103836905
"Dor, Milo",-0.178443027883664,0.145200103836905
"EbnerEschenbach, Marie ",0.394469968771554,-0.320982450844269
"Edelbauer, Raphaela",0.00581869172164155,-0.00473470245488151
"Eich, Günter",0.322083380780641,-0.262081073652147
"Eichendorff, Joseph ",0.22774734265748,-0.185319304400084
"Elsberg, Marc",0.0116373834432831,-0.00946940490976302
"Ephrussi, Elisabeth ",0.22774734265748,-0.185319304400084
"Erdheim, Claudia",0.322083380780641,-0.262081073652147
"Fallwickl, Mareike",0.22774734265748,-0.185319304400084
"Faro, Marlene",0.22774734265748,-0.185319304400084
"Ferk, Janko",-0.470114080941255,0.38253449393587
"Flašar, Milena Michiko",0.552730030833532,-0.449759560923435
"Flöss, Helene",0.22774734265748,-0.185319304400084
"Foresti, Traute",0.22774734265748,-0.185319304400084
"Franzobel",-0.104673511907363,0.0851734302997339
"Freitag, Günther",0.22774734265748,-0.185319304400084
"Freund, René",-0.178443027883664,0.145200103836905
"Fried, Erich",-0.182454702935306,0.148464426578829
"Fritsch, Gerhard",0.22774734265748,-0.185319304400084
"Fritsch, Valerie",0.295258340774415,-0.240253386459614
"Fritz, Marianne",0.322083380780641,-0.262081073652147
"Futscher, Christian",0.22774734265748,-0.185319304400084
"Ganglbauer, Petra",0.22774734265748,-0.185319304400084
"Gauß, KarlMarkus",-0.702744258683538,0.571826988937685
"Geiger, Arno",-0.942459820422892,0.766884901083004
"Gelich, Johannes",0.22774734265748,-0.185319304400084
"Gerstl, Elfriede",0.22774734265748,-0.185319304400084
"Glattauer, Daniel",0.436050053632918,-0.354816401719354
"Glattauer, Daniel, ",0.22774734265748,-0.185319304400084
"Glauser, Friedrich",0.0116373834432831,-0.00946940490976302
"Glavinic, Thomas",0.799191992702638,-0.650307057116856
"Grän, Christine",0.22774734265748,-0.185319304400084
"Greiner, Margret",0.22774734265748,-0.185319304400084
"Grill, Andrea",-0.178443027883664,0.145200103836905
"Grill, Evelyn",0.22774734265748,-0.185319304400084
"Grillparzer, Franz",0.322083380780641,-0.262081073652147
"Gruber, Andreas",0.754359320307726,-0.613826457318521
"Gruber, Marianne",0.126653767347284,-0.103058888813243
"Gruber, Sabine",0.219059250596996,-0.178249754615548
"Gstrein, Norbert",0.878851917151642,-0.715126789435994
"Haas, Wolf",1.13384937054784,-0.922619663494445
"Hackl, Erich",0.755352482595364,-0.614634599104738
"Haderlap, Maja",0.360928028456565,-0.29368918377528
"Hadwiger, Viktor",0.22774734265748,-0.185319304400084
"Hamerling, Robert",0.22774734265748,-0.185319304400084
"Handke, Peter",1.62095418044389,-1.31897960994455
"Händl, Klaus",0.22774734265748,-0.185319304400084
"Hartlieb, Petra",0.419167279849689,-0.3410787929405
"Härtling, Peter",-0.940228161882511,0.765068987871741
"Haslinger, Josef",-0.309072390550935,0.251493957109797
"Hassler, Silke",-0.178443027883664,0.145200103836905
"Hauer, Elisabeth",0.22774734265748,-0.185319304400084
"Haushofer, Marlen",0.750623353730303,-0.610786480125762
"Helfer, Monika",-0.05359413240075,0.0436098494961157
"Henisch, Peter",-0.148030700160615,0.120453420283723
