"","author","match_title_freq","match_lang_freq","dnb_title_freq","dnb_lang_freq","onb_title_freq","onb_lang_freq","standard_res_2"
"217","Schuberth, Richard",2,2,3,3,2,2,-0.160781898934925
"218","Schutti, Carolina",4,4,5,5,5,5,-0.206319850179598
"219","Schwab, Werner",1,1,12,8,2,1,0.0216032455995224
"220","Seethaler, Robert",48,24,60,27,60,27,-0.671193696118877
"221","Seghers, Anna",1,1,54,16,1,1,0.9014499720211
"222","Serner, Walter",1,1,9,5,1,1,-0.010498417209676
"223","Setz, Clemens J.",15,9,21,13,15,9,-0.169004572409097
"224","Simmel, Johannes Mario",15,4,147,20,19,4,2.26931061855266
"225","Singer, Lea",1,1,5,5,1,1,-0.0915604962524116
"226","Skwara, Erich Wolfgang",1,1,7,3,1,1,-0.0510294567310438
"227","Slupetzky, Stefan",1,1,1,1,1,1,-0.172622575295147
"228","Sommer, Edith",1,1,4,1,1,1,-0.111826016013096
"229","Sommer, Fedor",1,1,3,1,1,1,-0.132091535773779
"230","Stangl, Thomas",1,1,2,2,2,2,-0.181046914994308
"231","Stavarič, Michael",1,1,3,1,1,1,-0.132091535773779
"232","Steiner, Rudolf",5,4,38,15,6,5,0.433684469336617
"233","Steiner, Wilfried",1,1,2,2,1,1,-0.152357055534463
"234","Steinfest, Heinrich",9,2,10,2,9,2,-0.219756147535307
"235","Stifter, Adalbert",13,6,51,12,25,9,0.151980402601732
"236","Streeruwitz, Marlene",6,5,11,8,6,5,-0.113427304048283
"237","Strobl, Karl Hans",1,1,2,2,1,1,-0.152357055534463
"238","Struhar, Stanislav",3,1,4,1,3,1,-0.169206655526776
"239","Suttner, Bertha ",2,2,NA,NA,2,2,-0.221576947113074
"240","Svatek, Kurt F.",5,3,20,9,8,6,0.011560248504732
"241","Taschler, Judith W.",2,1,2,1,2,1,-0.181046914994308
"242","Tielsch, Ilse",1,1,5,4,2,1,-0.120251866816159
"243","Torberg, Friedrich",4,3,10,5,6,4,-0.133690703062539
"244","Trakl, Georg",19,13,59,27,29,16,0.199344575466936
"245","Treiber, Jutta",1,1,2,2,4,4,-0.238423758879327
"246","Trojanow, Ilija",25,15,51,21,25,15,0.151980402601732
"247","Truschner, Peter",1,1,1,1,1,1,-0.172622575295147
"248","Turrini, Peter",10,7,33,13,13,7,0.131519543130615
"249","Ungar, Hermann",2,1,25,8,2,1,0.285048454371502
"250","Urzidil, Johannes",1,1,8,5,1,1,-0.0307639369703599
"251","Vavrik, Elfriede",1,1,1,1,1,1,-0.172622575295147
"252","Vermes, Timur",3,3,56,31,3,3,0.884550055853648
"253","Vertlib, Vladimir",4,3,5,3,5,3,-0.206319850179598
"254","Vogel, Alois",1,1,8,3,1,1,-0.0307639369703599
"255","Vögel, Stefan",8,1,10,1,11,1,-0.277132074652086
"256","Wallner, Michael",5,5,23,15,5,5,0.158427535097507
"257","Walser, Alissa",4,4,14,8,5,5,-0.0239461575410454
"258","Wander, Fred",1,1,5,5,2,2,-0.120251866816159
"259","Wassermann, Jakob",8,3,31,12,10,4,0.177066677261341
"260","Waterhouse, Peter",1,1,2,2,2,2,-0.181046914994308
"261","Weger, Michael",2,1,2,1,2,1,-0.181046914994308
"262","Welsh, Renate",1,1,5,5,12,9,-0.407131063947312
"263","Werfel, Franz",26,16,109,25,31,18,1.15534709520125
"264","Widder, Bernhard",2,2,2,2,2,2,-0.181046914994308
"265","Winder, Ludwig",1,1,5,3,1,1,-0.0915604962524116
"266","Winkler, Josef",21,13,39,15,27,15,-0.148584871763481
"267","Winkler, Katharina",6,6,8,6,6,6,-0.17421750109105
"268","Wolf, Christa",1,1,157,35,1,1,2.98879850737154
"269","Wondratschek, Wolf",4,4,8,7,5,5,-0.14552861930008
"270","Wurmitzer, Mario",1,1,1,1,1,1,-0.172622575295147
"271","Zauner, Friedrich Ch.",2,2,3,3,3,3,-0.189471207668707
"272","Zoderer, Joseph",1,1,4,2,3,1,-0.169206655526776
"273","Zweig, Arnold",2,2,12,5,2,2,0.0216032455995224
"274","Zweig, Stefan",124,27,355,38,257,34,-0.366143864427006
