"","IDN","ISBN","year","author","language","title","uniform.title","publisher","country"
"682","990050306680603392","9789563497724","2014","Nöstlinger, Christine","spa","Diario secreto de Susi","Susis geheimes Tagebuch","Santiago de Chile","XD-CL"
"683","9958503476403338","9788467591538","2017","Nöstlinger, Christine","spa","Diario secreto de Susi","fail","Boadilla del Monte (Madrid)","XA-ES"
"684","9959021707103338","9788417978471","2020","Handke, Peter","cat","El dictat de la nit","<<Ein>> Jahr aus der Nacht gespochen","Barcelona","XA-ES"
"689","990042307030603392","9789600410433","2011","Kafka, Franz","gre","Ē dikē","<<Der>> Prozess <griech., neugriech.>","Athēna","XA-GR"
"691","9958816470003338","9788740662832","2020","Angel, Frauke","dan","Disco!","Disco!","[Aarhus]","XA-DK"
"692","9958900242803338","9783726902476","2021","Glauser, Friedrich","fre","La disparue","<<Die>> Verschwundene","[Zürich]","XA-CH"
"695","9958957209003338","9786058476790","2022","Achleitner, Friedrich","tur","diyalekt şiirleri montajlar incelemeler kareler","Prosa, Konstellationen, Montagen, Dialektgedichte, Studien","Istanbul","XB-TR"
"696","9958502470703338","9788469836231","2018","Härtling, Peter","spa","Djadi, el niño refugiado","Djadi, Flüchtlingsjunge","Madrid","XA-ES"
"697","990050755890603392","9788378397557","2014","Orosz, Susanne","pol","Dlaczego mleko jest białe?","Warum wächst Schokolade nicht auf Bäumen?","Warszawa","XA-PL"
"698","9958821169403338","9786190208075","2021","Leviant, Curt","bul","Dnevnikăt na preljubodejkata","Diary of an Adulterous Woman","Sofija","XA-BG"
"700","9959070808903338","9786192620400","2023","Turrini, Peter","bul","Do drugija petăk","Bis nächsten Freitag","Sofija","XA-BG"
"701","9958800065403338","9788366102286","2020","Musil, Robert","pol","Do nieznajomej dziewczyny i inne teksty","fail","Kraków","XA-PL"
"711","990046176640603392","9783570585375","2014","Saintonge, François","ger","Dolfi und Marilyn","Dolfi et Marilyn","München","XA-DE-BY"
"712","9958495969103338","9785000412282","2017","Nöstlinger, Christine","rus","Doloj ogurečnogo korolja","Wir pfeifen auf den Gurkenkönig","Moskva","XA-RU"
"713","9958554923803338","9788868393991","2019","Wolff, Karl Felix","ger","Dolomiten Sagen","fail","Bozen","XA-IT"
"714","9958126366103338","9788056600634","2017","Brezina, Thomas","slo","Dom pekelných salamandier","<<Das>> Haus der Höllensalamander","Bratislava","XA-SK"
"716","9958563480703338","9788076011434","2019","CoudenhoveKalergi, Barbara","cze","Doma je všude","Zuhause ist überall","Praha","XA-CZ"
"724","990043067380603392","9781849432542","2012","Horváth, Ödön ","eng","Don Juan comes back from the war","Don Juan kommt aus dem Krieg","London","fail"
"727","990017978360603392","9780374142315","2010","Handke, Peter","eng","Don Juan","fail","New York, NY","fail"
