"","IDN","ISBN","year","author","language","title","uniform.title","publisher","country"
"3469","990050060370603392","9789979535300","2014","Zweig, Stefan","ice","Veröld sem var","<<Die>> Welt von Gestern","Reykjavík","XA-IS"
"3470","990049205240603392","9789636966225","2014","Kafka, Franz","hun","Versbe tört gondolatok","fail","Budapest","XA-HU"
"3471","990046780890603392","9783423143752","2015","Bánffy, Miklós","ger","Verschwundene Schätze","És hijjával találtattál","München","XA-DE-BY"
"3472","990047300290603392","9783446237483","2011","Madžirov, Nikola","ger","Versetzter Stein","fail","München","XA-DE-BY"
"3473","990057712530603392","9788075770417","2017","Hykisch, Anton","cze","Věřte císaři","Verte cisárovi","Brno","XA-CZ"
"3474","9958508373903338","1911326023","2017","Kafka, Franz","ger","Die Verwandlung","fail","London","XA-GB"
"3475","9959066995803338","9783757955588","2023","Kafka, Franz","ger","Die Verwandlung","<<Die>> Verwandlung","Erlangen","XA-DE-BY"
"3476","9958890353203338","9783518225332","2023","Lipuš, Florjan","ger","Die Verweigerung der Wehmut","Jalov Pelin","Berlin","XA-DE-BE"
"3477","990047110100603392","9781572411845","2012","Henisch, Peter","eng","A very little woman","<<Eine>> sehr kleine Frau","Riverside, Calif.","XD-US"
"3478","9958835552003338","9789025310813","2021","Celan, Paul","dut","Verzameld werk","fail","Amsterdam","XA-NL"
"3479","9958927831303338","9789083089850","2021","Bachmann, Ingeborg","dut","Verzamelde verhalen","Erzählungen","[Amsterdam]","XA-NL"
"3480","990047198930603392","9785902525813","2015","fail","rus","Veter vozvraščen'ja","fail","Moskva","XA-RU"
"3481","9958936204703338","9788417800086","2019","Schutti, Carolina","spa","Una vez caminé sobre la suave hierva","Einmal muss ich über weiches Gras gelaufen sein","Madrid","XA-ES"
"3482","9958517758203338","9788494793004","2017","Handke, Peter","spa","Una vez más para Tucídides","Noch einmal für Thukydides","Barcelona","XA-ES"
"3483","9959036104103338","9789186905729","2021","Haushofer, Marlen","swe","Vi dödar Stella","Wir töten Stella","Stockholm","XA-SE"
"3484","990037051440603392","9788864110806","2010","Adler, H. G.","ita","Un viaggio","<<Eine>> Reise","Roma","XA-IT"
"3485","990050724030603392","9788836815135","2016","Zweig, Stefan","ita","Viaggio in Russia","Reise nach Russland","Bagno a Ripoli","XA-IT"
"3486","9958549562103338","9788416853205","2018","Roth, Joseph","cat","Viatge a Rússia","Reise nach Russland","Barcelona","fail"
"3487","990045981420603392","9786176140610","2014","Celan, Paul","ger","Vid poroha do poroha","fail","Černivci","XA-UA"
"3488","990037774950603392","9788498414141","2010","Glavinic, Thomas","spa","La vida de los deseos","<<Das>> Leben der Wünsche","Madrid","XA-ES"
"3489","990049078050603392","9786075164120","2013","Rilke, Rainer Maria","spa","La vida de María","<<Das>> Marien-Leben <span.>.","México","XD-MX"
"3490","9958601273403338","9789720032300","2019","Seethaler, Robert","por","Uma vida inteira","<<Ein>> ganzes Leben","Porto","XA-PT"
"3491","990048493660603392","9782848051949","2015","Seethaler, Robert","fre","Une vie entière","<<Ein>> ganzes Leben","Paris","XA-FR"
"3492","990047054840603392","9788415325659","2013","Geiger, Arno","spa","El viejo rey en su exilio","<<Der>> alte König in seinem Exil","Barcelona","XA-ES"
"3493","990043516110603392","9781922070388","2013","Vogel, David, ","eng","Viennese romance","Roman Wina'i, Am Oved","Melbourne [u.a.]","fail"
"3494","990048493600603392","9782851972934","2015","Roth, Joseph","fre","Viens à Vienne je t'attends","fail","Paris","XA-FR"
"3495","990045156190603392","9789517969475","2013","Poznanski, Ursula","fin","VII5I","Fünf","[Jyväskylä]","XA-FI"
"3496","9958582473703338","9789528019527"," ","Salten, Felix","fin","Viisitoista jänöä","Fünfzehn Hasen","Helsinki","XA-FI"
"3497","990044404710603392","9789023473879","2013","Poznanski, Ursula","dut","Vijf","Fünf","Amsterdam","XA-NL"
"3498","9958803378803338","9783825152574","2021","Fanto, Judith","ger","Viktor","Viktor","Stuttgart","XA-DE"
"3499","9958502470503338","9789634031208","2015","Moser, Erwin","hun","Világjáró jóétmesék","Von sagenhaften Katzen und tollkühnen Bären","Budapest","XA-HU"
"3500","9958503477803338","9789172474789","2017","Mayröcker, Friederike","swe","Vill ej mer gå i vall","Will nicht mehr weiden","[Lund]","XA-SE"
"3501","9958835350003338","9789522307071","2021","Kaiblinger, Sonja","fin","Vincent, seikkaileva lepakko","Vincent flattert ins Abenteuer","[Vihti]","XA-FI"
"3502","990048885990603392","9782916447698","2016","Trakl, Georg","fre","Vingt poèmes","fail","[Bussy-le-Repos]","XA-FR"
"3503","990038904450603392","9782253060222","2011","Zweig, Stefan","fre","Vingt-quatre heures de la vie d'une femme","Vierundzwanzig Stunden aus dem Leben einer Frau","Paris","XA-FR"
"3504","990044504690603392","9782070449552","2013","Zweig, Stefan","fre","Vingt-quatre heures de la vie d'une femme","Vierundzwanzig Stunden aus dem Leben einer Frau","Paris","XA-FR"
"3505","990049546540603392","9782210751606","2016","Zweig, Stefan","fre","Vingt-quatre heures de la vie d'une femme","Vierundzwanzig Stunden aus dem Leben einer Frau","Paris","XA-FR"
"3506","9958800276003338","9782266310505","2020","Zweig, Stefan","fre","Vingt-quatre heures de la vie d'une femme","fail","Paris","XA-FR"
"3507","990045966580603392","9782266242899","2014","Zweig, Stefan","fre","Vingt-quatre heures de la vie d'une femme","Vierundzwanzig Stunden aus dem Leben einer Frau","Paris","XA-FR"
"3508","9958512670003338","9786094660436","2014","Glattauer, Daniel","lit","Visada tavo","Ewig Dein","Vilnius","XA-LT"
"3509","9958601273303338","9789955239505","2017","Seethaler, Robert","lit","Visas gyvenimas","<<Ein>> ganzes Leben","Vilnius","XA-LT"
"3510","990048813730603392","9788671881555","2014","Stifter, Adalbert","srp","Visoka šuma","<<Der>> Hochwald","Novi Sad","XA-SP"
"3511","9958503878603338","9789934057618","2017","Seethaler, Robert","lav","Viss mūžs","<<Ein>> ganzes Leben","Rīgā","XA-LV"
"3512","990049215890603392","9788854509139","2015","Seethaler, Robert","ita","Una vita intera","<<Ein>> ganzes Leben","Vicenza","XA-IT"
"3513","990050283310603392","9788865593677","2016","Seethaler, Robert","ita","Una vita intera","<<Ein>> ganzes Leben","Vicenza","XA-IT"
"3514","990048814230603392","9788679581006","2015","Bernhard, Thomas","srp","Vitgenštajnov nećak","Wittgensteins Neffe","Beograd","XA-SP"
"3515","990037890120603392","fail","2010","Kripke, Saul A.","rus","Vitgenštejn o pravilach i individual'nom jazyke","Wittgenstein on rules and private language","Moskva","XA-RU"
"3516","990050314690603392","9789660377011","2017","Stifter, Adalbert","ukr","Vitiko","Witiko","Charkiv","XA-UA"
"3517","9958849045203338","9786051419398","2015","Jonke, Gert","tur","Viyana'nın sistemi","Himmelstraße - Erdbrustplatz oder das System von Wien","Cağaloğlu, İstanbul","XB-TR"
"3518","9958496975003338","9789928117144","2014","Welsh, Renate","alb","Vizitë nga e kaluara","Besuch aus der Vergangenheit","Tiranë","XA-AL"
"3519","9958870430703338","9786067794854","2019","Kafka, Franz","rum","Vizuina","Gesammelte Werke","Bucureşti","XA-RO"
"3520","990039048140603392","9789543203352","2010","Horváth, Ödön ","bul","Vjara, ljubov, nadežda","Glaube, Liebe, Hoffnung","Sofija","XA-BG"
"3521","990050341150603392","9789542821397","2016","Trojanow, Ilija","bul","Vlast i săprotiva","Macht und Widerstand","Sofija","XA-BG"
"3522","9958899934503338","9789028451179","2021","Hochgatterer, Paulus","dut","Vlieg weg, vlieg weg","Fliege fort, fliege fort","Amsterdam","XA-NL"
"3523","9958812961103338","9789463386500","2019","Schnitzler, Arthur","dut","Vlucht in de duisternis","Flucht in die Finsternis","Soesterberg","XA-NL"
"3524","9958872731403338","9789020414066","2020","Roth, Joseph","dut","Vlucht zonder einde","<<Die>> Flucht ohne Ende","Amsterdam","XA-NL"
"3525","9959070810603338","9786082479828","2017","Drach, Albert","mak","Vo meǵuvreme","Z. Z. - das ist die Zwischenzeit","Skopje","XA-MK"
"3526","9958585873503338","9789619403211","2016","Karlin, Alma M.","slv","Vodna vrba","Welkende Wasserweide","Ljubljana","XA-SI"
"3527","990036575060603392","9783442472437","2010","Glattauer, Daniel","ger","Die Vögel brüllen","fail","München","XA-DE-BY"
"3528","9958269865103338","9786067791914","2017","Bachmann, Ingeborg","rum","Voi, cuvinte","Ausgewählte Gedichte","Bucureşti, România","XA-RO"
"3529","9958497372903338","9781681371054","2017","Lust, Ulli","eng","Voices in the dark","Flughunde","New York","XD-US"
"3530","990038893560603392","9780141195629","2012","Canetti, Elias","eng","The voices of Marrakesh","<<Die>> Stimmen von Marrakesch","London","fail"
"3531","990047558250603392","9789949525256","2014","Zweig, Stefan","est","Võitlus deemoniga","<<Der>> Kampf mit dem Dämon","Tallinn","XA-EE"
"3532","9958509480203338","9788025335888","2018","Brezina, Thomas","cze","Volání zlaté sovy","<<Der>> Ruf der Goldeule","[Praha]","XA-CZ"
"3533","9958491254203338","9788056403709","2017","Brezina, Thomas","slo","Volanie zlatej sovy","<<Der>> Ruf der Goldeule","Bratislava","XA-SK"
"3534","9958887236603338","9783940524300","2014","Maljarčuk, Tanja","ger","Von Hasen und anderen Europäern","Sviroslov","Berlin","XA-DE-BE"
"3535","9958564958003338","9789078627685","2019","Anders, Günther","dut","De vooroudermoord","<<Der>> Ahnenmord","[Bleiswijk]","XA-NL"
"3536","990037745830603392","9783896674432","2011","Seksik, Laurent","ger","Vorgefühl der nahen Nacht","<<Les>> derniers jours de Stefan Zweig","München","XA-DE-BY"
"3537","9958975106703338","9782374280608","2022","Mayröcker, Friederike","fre","Voyage dans la nuit","Reise durch die Nacht","Saint-Quentin-de-Caplong","XA-FR"
"3538","9958987509703338","9788088396086","2021","Pittler, Andreas P.","cze","Vražda na konci války","Chuzpe","Havlíčkův Brod","XA-CZ"
"3539","9958841257603338","9788024394527","2020","Maxian, Beate","cze","Vražda v hotelu Sacher","Mord im Hotel Sacher","Brno","XA-CZ"
"3540","9958558076903338","9788076170759","2019","Gruber, Andreas","cze","Vražedná lhůta","Todesfrist","Praha","XA-CZ"
"3541","9958805876003338","9788076179554","2020","Gruber, Andreas","cze","Vražedný rozsudek","Todesurteil","Praha","XA-CZ"
"3542","9958499269303338","9789082545357","2017","KaiserMühlecker, Reinhard","dut","Vreemde zielen, donker woud","Fremde Seele, dunkler Wald","Kampen","XA-NL"
"3543","9958545236603338","9789533400655","2018","Menasse, Eva","hrv","Vremenski kristali","Quasikristalle","Zagreb","XA-HR"
"3544","9958585873303338","9789619403235","2016","Karlin, Alma M.","slv","Vroča in grešna","<<Der>> Todesdorn","Ljubljana","XA-SI"
"3545","990038038690603392","9788080894917","2011","Brezina, Thomas","slo","Všade samé čary","Ups, ein Hexenbaby!","Bratislava","XA-SK"
"3546","990038044510603392","9789612318031","2010","Glattauer, Daniel","slv","Vsakih sedem valov","Alle sieben Wellen","Ljubljana","XA-SI"
"3547","9958504675803338","9789612821258","2015","Seethaler, Robert","slv","Vse življenje","Ein ganzes Leben","Ljubljana","XA-SI"
"3548","990057719500603392","9789542915959","2016","Vögel, Stefan","bul","Vsjaka părva srjada","Jeden ersten Mittwoch","Sofija","XA-BG"
"3549","9958833648303338","9785041175399","2021","Handke, Peter","rus","Vtoroj meč","<<Das>> zweite Schwert","Moskva","XA-RU"
"3550","9959085509303338","9789527380475","2023","Handke, Peter","fin","Vuosi ei-kenenkään-poukamassa","Mein Jahr in der Niemandsbucht","[Helsinki]","XA-FI"
"3551","9958540764503338","9789857164615","2018","Trakl, Georg","bel","Vybranae","fail","Minsk","XA-BY"
"3552","9958816059803338","9789852301305","2020","Kafka, Franz","bel","Vybranyja tvory","fail","Minsk","XA-BY"
"3553","990051182120603392","9788074381706","2017","Péterfy, Gergely","cze","Vycpaný barbar","Kitömött barbár","Praha","XA-CZ"
"3554","990045439670603392","9788020022523","2013","Menasse, Robert","cze","Vyhnání z pekla","<<Die>> Vertreibung aus der Hölle","Praha","XA-CZ"
"3555","990047096970603392","9788025317440","2013","Brezina, Thomas","cze","Výprava do podzemí","Zauberschwert und Sturmwindpferd","Praha","XA-CZ"
"3556","990038620210603392","9788025312018","2011","Brezina, Thomas","cze","Výprava za dinosaury","Zurück zu den Sauriern","Praha","XA-CZ"
"3557","990027346660603392","9788020420596","2010","Jelinek, Elfriede","cze","Vyvrhelové","<<Die>> Ausgesperrten","Praha","XA-CZ"
"3558","990039501770603392","9788080893644","2010","Brezina, Thomas","slo","Vzkriesenie ohniveho démona","Gefangen in deer Feuerfestung","Bratislava","XA-SK"
"3559","9958818980703338","9788074852237","2020","Tielsch, Ilse","cze","Vzpomínka na dědečka a jiné povídky z jižní Moravy / Ilse Tielschová ; překlad z německého jazyka a ilustrace Jarmila Červená","fail","Brno","XA-CZ"
"3560","990046695270603392","9788375085518","2012","Kröhn, Julia","pol","W krainie ognistego kwiatu","Im Land der Feuerblume","Katowice","XA-PL"
"3561","990046608120603392","9788375088823","2014","Glattauer, Daniel","pol","W matni","Ewig Dein","Katowice","XA-PL"
"3562","990046460710603392","9788377787939","2014","Haas, Wolf","pol","W obronie pozycji misjonarskiej","Verteidigung der Missionarsstellung","Warszawa","XA-PL"
"3563","990050280800603392","9787537660471","2016","Welsh, Renate","chi","Wa mu pei er bu gai dan shen","Vamperl soll nicht alleine bleiben","Shi jia zhuang Shi","XB-CN"
"3564","9958947493803338","9789046828823","2022","Helfer, Monika","dut","Waar vader was","Vati","[Amsterdam]","XA-NL"
"3565","990048813150603392","9780226311043","2015","Bernhard, Thomas","eng","Walking","Gehen","Chicago","XD-US"
