,IDN,ISBN,year,author,language,original language,title,uniform title,publisher,country
1882,9958995004103338,9789523880528,2022,"Menasse, Eva",fin,ger,Dunkelblum,Dunkelblum,Helsinki,XA-FI
1885,9958995004003338,9788232804658,2023,"Menasse, Eva",nor,ger,Dunkelblum,Dunkelblum,Oslo,XA-NO
1886,9958954190103338,9789025472269,[2022],"Menasse, Eva",dut,ger,Dunkelblum zwijgt,Dunkelblum,Amsterdam,XA-NL
1895,9958507278203338,9787115475091,2018 nian 3 yue,"Brezina, Thomas",chi,ger,Duo ming hai tan,<<Die>> Festung der Haie,Bei jing,XB-CN
1896,990049796900603338,9787115410658,2016 nian 1 yue,"Brezina, Thomas",chi,ger,Duo ming mu nai yi,<<Das>> Mumienauto,Bei jing,XB-CN
1904,9958558858703338,9788087545577,[2018],"Köhlmeier, Michael",cze,ger,Dva pánové na pláži,Zwei Herren am Strand,Ve Zlíně,XA-CZ
1905,9959032210303338,9788652148042,2023,"Zweig, Stefan",srp,ger,Dvadeset četiri časa iz života jedne žene i druge priče,Vierundzwanzig Stunden aus dem Leben einer Frau,Beograd,XA-RS
1906,9959031500503338,9788681800089,2020,"Zweig, Stefan",srp,ger,Dvadeset četiri časa jedne žene,Vierundzwanzig Stunden aus dem Leben einer Frau,Niš,XA-RS
1907,9958513751203338,9786197362343,2018,"Gauß, Karl-Markus",bul,ger,Dvajset leva ili smărt,Zwanzig Lewa oder tot,Sofija,XA-BG
1909,9958893045303338,9788685339509,[2019],"Steiner, Rudolf",srp,ger,Dveri posvećenja,fail,Beograd,XA-RS
1910,990049060620603338,9789545400964,2014,"Kappacher, Walter",bul,ger,Dvorecăt na muchite,<<Der>> Fliegenpalast,Sofija,XA-BG
1911,9959070810803338,9786082479668,2017,"Kappacher, Walter",mac,ger,Dvorecot na muvite,<<Der>> Fliegenpalast,Skopje,XA-MK
1912,9959070807203338,9786192620301,2023,"Vögel, Stefan",bul,ger,Dvuposočna ljubov,Zweimal Liebe retour,Sofija,XA-BG
